rvalue_z,time
0.471779855,Sample
0.284774468,Sample
0.478639085,Sample
-0.051194113,Sample
-0.061715741,Sample
0.306076045,Sample
-0.367549454,Sample
0.096033546,Sample
0.877712276,Sample
0.450075692,Sample
0.382120567,Sample
0.220621658,Sample
0.343987091,Sample
0.353768667,Sample
0.143659625,Delay 
-0.082033764,Delay 
0.870864727,Delay 
-0.158390474,Delay 
0.077014226,Delay 
0.221244172,Delay 
0.358615491,Delay 
-0.359385494,Delay 
-0.178660377,Delay 
-0.129648559,Delay 
0.273913102,Delay 
-0.156541391,Delay 
-0.015486755,Delay 
0.47132304,Delay 
0.033435908,ITI
-0.466748427,ITI
0.17852476,ITI
0.108786736,ITI
0.279899767,ITI
0.332720474,ITI
-0.028813306,ITI
0.493257169,ITI
0.3307929,ITI
-0.060997346,ITI
0.613617105,ITI
0.481122663,ITI
0.354343289,ITI
0.300072852,ITI
